group,name,rgb,hex,cmyk
base,Black,0/0/0,#000000,20/20/20/100
base,White,255/255/255,#FFFFFF,0/0/0/0
base,Allen Institute Page 1,243/240/232,#F3F0E8,0/0/5/7
base,Allen Institute Page 2,222/217/209,#DED9D1,0/2/6/13
base,Allen Institute Gray 1,170/163/159,#AAA39F ,34/30/32/9
base,Allen Institute Gray 2,115/115/115,#737373,50/40/40/25
primary,Allen Institute Blue,100/100/255,#6464FF,70/60/0/0
primary,Allen Institute Violet,130/70/255,#8246FF,55/80/0/0
accent,Allen Institute Green,205/235/5,#CDEB05,25/0/100/0
accent,Allen Institute Rose,255/0/255,#FF00FF,0/85/0/0
accent,Allen Institute Maroon,205/15/85,#CD0F55,0/100/45/15
accent,Allen Institute Teal,0/165/155,#00A59B,100/0/40/0
accent,Allen Institute Orange,255/110/0,#FF6E00,0/70/100/0
accent,Allen Institute Ochre,220/150/0,#DC9600,0/32/100/14
accent,Allen Institute Yellow,255/235/35,#FFEB23,0/0/100/0
